Naive,32,0.459481,0.328388,0.928528
Naive,48,0.449718,0.333098,0.775779
Naive,64,0.448435,0.331722,0.767620
Naive,128,0.442928,0.329389,0.757815
Naive,256,0.440741,0.320783,0.758881
Naive,512,0.443509,0.330652,0.752791
Naive,1024,0.441488,0.322371,0.760576
Transpose,32,0.336901,0.297187,0.674645
Transpose,48,0.358444,0.303333,0.637418
Transpose,64,0.342931,0.298446,0.530163
Transpose,128,0.342439,0.299868,0.526481
Transpose,256,0.331148,0.296160,0.627532
Transpose,512,0.352893,0.298184,0.628797
Transpose,1024,0.332372,0.295635,0.641088
Shmem,32,0.352532,0.296081,0.848332
Shmem,48,0.334183,0.299565,0.625376
Shmem,64,0.330211,0.295374,0.630134
Shmem,128,0.328713,0.294089,0.625588
Shmem,256,0.330576,0.295454,0.630997
Shmem,512,0.333079,0.294527,0.648451
Shmem,1024,0.329270,0.294799,0.631378
All_GPU,32,0.072243,0.029396,0.198085
All_GPU,48,0.066615,0.029863,0.152499
All_GPU,64,0.067377,0.029417,0.151475
All_GPU,128,0.066093,0.029408,0.151830
All_GPU,256,0.058126,0.029404,0.151551
All_GPU,512,0.066126,0.029411,0.151545
All_GPU,1024,0.069883,0.029399,0.178015
